CLASSIFICATION,TERSE_SCORE,TERSE_NON_BLANK,TERSE_TOTAL_LINES,NOISY_SCORE,NOISY_NON_BLANK,NOISY_TOTAL_LINES,TERSE_FILE,NOISY_FILE,VISUAL_CLASSIFICATION
"true",3,8,8,4,8,29,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01075811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01075811_lg.txt,h
"false",0,4,4,0,14,29,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01075911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01075911_lg.txt,t
"false",0,6,6,0,9,17,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01076011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01076011_lg.txt,t
"true",1,8,8,6,12,25,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01076111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01076111_lg.txt,h
"true",6,9,9,2,10,24,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01304911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01304911_lg.txt,h
"false",0,8,8,0,9,19,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01356611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01356611_lg.txt,t
"true",4,10,10,6,11,23,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357211_lg.txt,h
"true",2,8,8,1,9,25,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357311_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357311_lg.txt,h
"true",0,8,8,3,8,22,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357411_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357411_lg.txt,h
"true",7,7,7,2,14,22,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357511_lg.txt,h
"false",0,9,9,0,10,32,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357611_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357611_lg.txt,t
"true",0,8,8,4,18,48,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357711_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357711_lg.txt,t
"true",5,12,12,2,12,27,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357811_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357811_lg.txt,h
"true",2,8,8,5,18,37,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01357911_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01357911_lg.txt,h
"true",4,9,9,3,8,15,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01358011_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01358011_lg.txt,h
"true",3,4,4,7,16,38,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01358111_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01358111_lg.txt,h
"true",0,1,1,1,4,13,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01358211_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01358211_lg.txt,h
"true",1,7,7,2,11,27,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/abby/NY01358511_lg.txt,/home/benwbrum/dev/volunteer/idigbio/aocr/HandwritingDetection/lichen/tesseract/NY01358511_lg.txt,h
